nombre,descripcion,pregunta,accion,imagen
El Jinete,"Noticias, movimiento, llegada de algo nuevo.",¿Qué novedad está tocando tu puerta hoy?,Prepárate para recibir información importante.,"gotico\Jinete.png"
El Trébol,"Suerte, oportunidad inesperada, momento afortunado.",¿Dónde puedes aprovechar una oportunidad hoy?,Actúa rápido ante lo inesperado.,"gotico\Trebol.png"
El Barco,"Viajes, comercio, expansión.",¿Qué horizonte estás listo para explorar?,Planea una nueva aventura o proyecto.,"gotico\Barco.png"
La Casa,"Seguridad, hogar, estabilidad.",¿Qué te hace sentir en casa?,Fortalece tus raíces y tu entorno.,"gotico\Casa.png"
El Árbol,"Salud, crecimiento, conexión con la naturaleza.",¿Qué parte de ti necesita sanar?,Dedica tiempo al autocuidado.,"gotico\Arbol.png"
Las Nubes,"Confusión, incertidumbre, falta de claridad.",¿Qué te impide ver con claridad?,Espera antes de tomar decisiones importantes.,"gotico\Nubes.png"
La Serpiente,"Engaño, tentación, sabiduría oculta.",¿Qué verdad incómoda estás evitando?,Sé cauteloso y analiza bien tus opciones.,"gotico\Serpiente.png"
El Ataúd,"Finales, transformación, cierre de ciclo.",¿Qué necesitas dejar ir?,Acepta el cambio y renueva tu energía.,"gotico\Ataud.png"
Las Flores,"Alegría, belleza, regalos.",¿Qué te hace sonreír hoy?,Disfruta de los pequeños placeres.,"gotico\Ramo.png"
La Guadaña,"Corte, decisión rápida, ruptura.",¿Qué necesitas cortar de raíz?,Toma una decisión firme y clara.,"gotico\Guadana.png"
El Látigo,"Conflicto, repetición, disciplina.",¿Qué patrón se repite en tu vida?,Rompe con hábitos negativos.,"gotico\Latigo.png"
Las Aves,"Conversación, nerviosismo, comunicación.",¿Qué necesitas expresar hoy?,Habla con claridad y escucha activamente.,"gotico\Pajaros.png"
Niños,"Nuevo comienzo, inocencia, curiosidad.",¿Qué puedes ver con ojos nuevos?,Permítete explorar sin prejuicios.,"gotico\Ninos.png"
La Zorra,"Astucia, engaño, estrategia.",¿Dónde necesitas ser más inteligente?,Actúa con precaución y lógica.,"gotico\Zorra.png"
El Oso,"Poder, protección, fuerza.",¿Dónde puedes ejercer tu poder con sabiduría?,Defiende lo que es importante para ti.,"gotico\Oso.png"
Las Estrellas,"Esperanza, guía, inspiración.",¿Qué sueño estás listo para seguir?,Confía en tu visión y avanza.,"gotico\Estrellas.png"
La Cigüeña,"Cambio, transición, evolución.",¿Qué transformación estás viviendo?,Abraza el cambio con confianza.,"gotico\Ciguena.png"
El Perro,"Amistad, lealtad, confianza.",¿En quién puedes confiar plenamente?,Valora y fortalece tus relaciones cercanas.,"gotico\Perro.png"
La Torre,"Autoridad, aislamiento, instituciones.",¿Qué estructura necesitas cuestionar?,Evalúa las reglas que guían tu vida.,"gotico\Torre.png"
El Jardín,"Comunidad, reuniones, conexiones sociales.",¿Qué conexiones sociales puedes fortalecer?,Participa activamente en tu comunidad.,"gotico\Jardin.png"
La Montaña,"Obstáculos, retos, bloqueos.",¿Qué obstáculo necesitas superar?,Enfrenta los desafíos con determinación.,"gotico\Montana.png"
La Encrucijada,"Decisiones, opciones, caminos a elegir.",¿Qué camino debes elegir hoy?,Evalúa tus opciones con claridad.,"gotico\Encrucijada.png"
Los Ratones,"Pérdida, estrés, pequeños problemas.",¿Qué pequeños problemas te están agotando?,Resuelve los detalles antes de que crezcan.,"gotico\Ratones.png"
El Corazón,"Amor, afecto, emociones profundas.",¿Qué despierta tu pasión hoy?,Abre tu corazón a las emociones.,"gotico\Corazon.png"
El Anillo,"Compromisos, asociaciones, contratos.",¿Qué compromisos son importantes para ti?,Honra tus acuerdos con integridad.,"gotico\Anillo.png"
El Libro,"Conocimiento, secretos, aprendizaje.",¿Qué necesitas aprender o descubrir?,Investiga y busca la verdad.,"gotico\Libro.png"
La Carta,"Mensajes, comunicación escrita, documentos.",¿Qué mensaje estás esperando?,Presta atención a la correspondencia.,"gotico\Carta.png"
El Caballero,"Hombre influyente, acción, liderazgo.",¿Qué rol de liderazgo puedes asumir?,Actúa con confianza y decisión.,"gotico\Caballero.png"
La Dama,"Mujer influyente, intuición, sensibilidad.",¿Cómo puedes conectar con tu intuición?,Escucha tu voz interior.,"gotico\Dama.png"
El Lirio,"Paz, madurez, pureza.",¿Dónde puedes encontrar calma?,Busca la serenidad en tu interior.,"gotico\Lirio.png"
El Sol,"Éxito, vitalidad, energía positiva.",¿Qué te llena de energía hoy?,Aprovecha tu entusiasmo para avanzar.,"gotico\Sol.png"
La Luna,"Intuición, emociones, sueños.",¿Qué te dicen tus sueños?,Confía en tu intuición y emociones.,"gotico\Luna.png"
La Llave,"Soluciones, oportunidades, acceso.",¿Qué puerta necesitas abrir?,Busca la clave para superar obstáculos.,"gotico\Llave.png"
Los Peces,"Abundancia, independencia, recursos.",¿Cómo puedes fluir con la abundancia?,Confía en tus recursos internos.,"gotico\Peces.png"
El Ancla,"Estabilidad, perseverancia, seguridad.",¿Qué te mantiene anclado?,Aférrate a tus cimientos sólidos.,"gotico\Ancla.png"
La Cruz,"Dolor, sacrificio, pruebas.",¿Qué carga necesitas soltar?,Acepta las lecciones de las dificultades.,"gotico\Cruz.png"